,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Season,MASCOT,URL
20,Chicago Bulls,72,31,41,0.431,48.3,110.7,42.2,88.6,47.6,12.6,34.0,37.0,13.8,17.5,79.1,9.6,35.3,45.0,26.8,15.1,6.7,4.2,5.1,18.9,17.7,-0.9,2021,bulls,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/bulls.png
21,New Orleans Pelicans,72,31,41,0.431,48.4,114.6,42.5,89.1,47.7,10.6,30.4,34.8,19.0,26.1,72.9,11.7,35.7,47.4,26.0,14.6,7.6,4.4,5.9,18.0,21.3,-0.3,2021,pelicans,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pelicans.png
22,Sacramento Kings,72,31,41,0.431,48.1,113.7,42.6,88.6,48.1,12.1,33.3,36.4,16.4,22.0,74.5,9.4,32.0,41.4,25.5,13.4,7.5,5.0,4.7,19.4,18.7,-3.7,2021,kings,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/kings.png
23,Toronto Raptors,72,27,45,0.375,48.1,111.3,39.7,88.7,44.8,14.5,39.3,36.8,17.4,21.3,81.5,9.4,32.1,41.6,24.1,13.2,8.6,5.4,5.6,21.2,19.5,-0.5,2021,raptors,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/raptors.png
24,Minnesota Timberwolves,72,23,49,0.319,48.3,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,10.5,33.0,43.5,25.6,14.3,8.8,5.5,5.5,20.9,19.9,-5.6,2021,timberwolves,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/timberwolves.png
25,Cleveland Cavaliers,72,22,50,0.306,48.4,103.8,38.6,85.8,45.0,10.0,29.7,33.6,16.7,22.4,74.3,10.4,32.3,42.8,23.8,15.5,7.8,4.5,5.9,18.2,20.2,-8.4,2021,cavaliers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/cavaliers.png
26,Oklahoma City Thunder,72,22,50,0.306,48.2,105.0,38.8,88.0,44.1,11.9,35.1,33.9,15.5,21.3,72.5,9.9,35.7,45.6,22.1,16.1,7.0,4.4,5.3,18.1,18.6,-10.6,2021,thunder,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/thunder.png
27,Orlando Magic,72,21,51,0.292,48.1,104.0,38.3,89.2,42.9,10.9,31.8,34.3,16.6,21.4,77.5,10.4,35.1,45.4,21.8,12.8,6.9,4.4,5.3,17.2,18.6,-9.3,2021,magic,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/magic.png
28,Detroit Pistons,72,20,52,0.278,48.4,106.6,38.7,85.6,45.2,11.6,32.9,35.1,17.8,23.4,75.9,9.6,33.1,42.7,24.2,14.9,7.4,5.2,5.8,20.5,20.4,-4.5,2021,pistons,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pistons.png
29,Houston Rockets,72,17,55,0.23600000000000002,48.1,108.8,39.3,88.5,44.4,13.8,40.6,33.9,16.5,22.3,74.0,9.3,33.3,42.6,23.6,14.7,7.6,5.0,5.3,19.5,19.3,-7.9,2021,rockets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/rockets.png
0,Phoenix Suns,82,64,18,0.78,48.1,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,12.9,8.6,4.4,4.0,19.9,18.9,7.5,2022,suns,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/suns.png
